"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","RDataPath"
"Protein structure for A0A140D2T1_ZIKV","AlphaFold2 predicted protein structure for A0A140D2T1_ZIKV from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/A0A140D2T1_ZIKV.pdb"
"Protein structure for A0A192B1T2_9HIV1","AlphaFold2 predicted protein structure for A0A192B1T2_9HIV1 from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/A0A192B1T2_9HIV1.pdb"
"Protein structure for A0A1I9GEU1_NEIME","AlphaFold2 predicted protein structure for A0A1I9GEU1_NEIME from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/A0A1I9GEU1_NEIME.pdb"
"Protein structure for A0A220GHA5_9CAUD","AlphaFold2 predicted protein structure for A0A220GHA5_9CAUD from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/A0A220GHA5_9CAUD.pdb"
"Protein structure for A0A247D711_LISMN","AlphaFold2 predicted protein structure for A0A247D711_LISMN from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/A0A247D711_LISMN.pdb"
"Protein structure for A0A2Z5U3Z0_9INFA","AlphaFold2 predicted protein structure for A0A2Z5U3Z0_9INFA from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/A0A2Z5U3Z0_9INFA.pdb"
"Protein structure for A4_HUMAN","AlphaFold2 predicted protein structure for A4_HUMAN from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/A4_HUMAN.pdb"
"Protein structure for A4D664_9INFA","AlphaFold2 predicted protein structure for A4D664_9INFA from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/A4D664_9INFA.pdb"
"Protein structure for A4GRB6_PSEAI","AlphaFold2 predicted protein structure for A4GRB6_PSEAI from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/A4GRB6_PSEAI.pdb"
"Protein structure for AACC1_PSEAI","AlphaFold2 predicted protein structure for AACC1_PSEAI from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/AACC1_PSEAI.pdb"
"Protein structure for ACE2_HUMAN","AlphaFold2 predicted protein structure for ACE2_HUMAN from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/ACE2_HUMAN.pdb"
"Protein structure for ADRB2_HUMAN","AlphaFold2 predicted protein structure for ADRB2_HUMAN from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/ADRB2_HUMAN.pdb"
"Protein structure for AICDA_HUMAN","AlphaFold2 predicted protein structure for AICDA_HUMAN from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/AICDA_HUMAN.pdb"
"Protein structure for AMFR_HUMAN","AlphaFold2 predicted protein structure for AMFR_HUMAN from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/AMFR_HUMAN.pdb"
"Protein structure for AMIE_PSEAE","AlphaFold2 predicted protein structure for AMIE_PSEAE from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/AMIE_PSEAE.pdb"
"Protein structure for ANCSZ","AlphaFold2 predicted protein structure for ANCSZ from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/ANCSZ.pdb"
"Protein structure for ARGR_ECOLI","AlphaFold2 predicted protein structure for ARGR_ECOLI from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/ARGR_ECOLI.pdb"
"Protein structure for B1LPA6_ECOSM","AlphaFold2 predicted protein structure for B1LPA6_ECOSM from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/B1LPA6_ECOSM.pdb"
"Protein structure for B2L11_HUMAN","AlphaFold2 predicted protein structure for B2L11_HUMAN from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/B2L11_HUMAN.pdb"
"Protein structure for BAC7","AlphaFold2 predicted protein structure for BAC7 from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/BAC7.pdb"
"Protein structure for BBC1_YEAST","AlphaFold2 predicted protein structure for BBC1_YEAST from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/BBC1_YEAST.pdb"
"Protein structure for BCHB_CHLTE","AlphaFold2 predicted protein structure for BCHB_CHLTE from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/BCHB_CHLTE.pdb"
"Protein structure for BLAT_ECOLX","AlphaFold2 predicted protein structure for BLAT_ECOLX from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/BLAT_ECOLX.pdb"
"Protein structure for BRCA1_HUMAN","AlphaFold2 predicted protein structure for BRCA1_HUMAN from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/BRCA1_HUMAN.pdb"
"Protein structure for BRCA2_HUMAN_1-1000","AlphaFold2 predicted protein structure for BRCA2_HUMAN_1-1000 from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/BRCA2_HUMAN_1-1000.pdb"
"Protein structure for BRCA2_HUMAN_1001-2085","AlphaFold2 predicted protein structure for BRCA2_HUMAN_1001-2085 from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/BRCA2_HUMAN_1001-2085.pdb"
"Protein structure for BRCA2_HUMAN_2086-2832","AlphaFold2 predicted protein structure for BRCA2_HUMAN_2086-2832 from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/BRCA2_HUMAN_2086-2832.pdb"
"Protein structure for BRCA2_HUMAN","AlphaFold2 predicted protein structure for BRCA2_HUMAN from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/BRCA2_HUMAN.pdb"
"Protein structure for C6KNH7_9INFA","AlphaFold2 predicted protein structure for C6KNH7_9INFA from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/C6KNH7_9INFA.pdb"
"Protein structure for CALM1_HUMAN","AlphaFold2 predicted protein structure for CALM1_HUMAN from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/CALM1_HUMAN.pdb"
"Protein structure for CAPSD_AAV2S","AlphaFold2 predicted protein structure for CAPSD_AAV2S from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/CAPSD_AAV2S.pdb"
"Protein structure for CAPSD_BPMS2","AlphaFold2 predicted protein structure for CAPSD_BPMS2 from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/CAPSD_BPMS2.pdb"
"Protein structure for CAR11_HUMAN","AlphaFold2 predicted protein structure for CAR11_HUMAN from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/CAR11_HUMAN.pdb"
"Protein structure for CAS9_STRP1","AlphaFold2 predicted protein structure for CAS9_STRP1 from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/CAS9_STRP1.pdb"
"Protein structure for CASP3_HUMAN","AlphaFold2 predicted protein structure for CASP3_HUMAN from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/CASP3_HUMAN.pdb"
"Protein structure for CASP7_HUMAN","AlphaFold2 predicted protein structure for CASP7_HUMAN from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/CASP7_HUMAN.pdb"
"Protein structure for CATR_CHLRE","AlphaFold2 predicted protein structure for CATR_CHLRE from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/CATR_CHLRE.pdb"
"Protein structure for CBPA2_HUMAN","AlphaFold2 predicted protein structure for CBPA2_HUMAN from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/CBPA2_HUMAN.pdb"
"Protein structure for CBS_HUMAN","AlphaFold2 predicted protein structure for CBS_HUMAN from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/CBS_HUMAN.pdb"
"Protein structure for CBX4_HUMAN","AlphaFold2 predicted protein structure for CBX4_HUMAN from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/CBX4_HUMAN.pdb"
"Protein structure for CCDB_ECOLI","AlphaFold2 predicted protein structure for CCDB_ECOLI from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/CCDB_ECOLI.pdb"
"Protein structure for CCR5_HUMAN","AlphaFold2 predicted protein structure for CCR5_HUMAN from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/CCR5_HUMAN.pdb"
"Protein structure for CD19_HUMAN","AlphaFold2 predicted protein structure for CD19_HUMAN from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/CD19_HUMAN.pdb"
"Protein structure for CP2C9_HUMAN","AlphaFold2 predicted protein structure for CP2C9_HUMAN from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/CP2C9_HUMAN.pdb"
"Protein structure for CSN4_MOUSE","AlphaFold2 predicted protein structure for CSN4_MOUSE from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/CSN4_MOUSE.pdb"
"Protein structure for CUE1_YEAST","AlphaFold2 predicted protein structure for CUE1_YEAST from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/CUE1_YEAST.pdb"
"Protein structure for D7PM05_CLYGR","AlphaFold2 predicted protein structure for D7PM05_CLYGR from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/D7PM05_CLYGR.pdb"
"Protein structure for DLG4_HUMAN","AlphaFold2 predicted protein structure for DLG4_HUMAN from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/DLG4_HUMAN.pdb"
"Protein structure for DLG4_RAT","AlphaFold2 predicted protein structure for DLG4_RAT from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/DLG4_RAT.pdb"
"Protein structure for DN7A_SACS2","AlphaFold2 predicted protein structure for DN7A_SACS2 from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/DN7A_SACS2.pdb"
"Protein structure for DNJA1_HUMAN","AlphaFold2 predicted protein structure for DNJA1_HUMAN from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/DNJA1_HUMAN.pdb"
"Protein structure for DOCK1_MOUSE","AlphaFold2 predicted protein structure for DOCK1_MOUSE from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/DOCK1_MOUSE.pdb"
"Protein structure for DYR_ECOLI","AlphaFold2 predicted protein structure for DYR_ECOLI from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/DYR_ECOLI.pdb"
"Protein structure for ENV_HV1B9","AlphaFold2 predicted protein structure for ENV_HV1B9 from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/ENV_HV1B9.pdb"
"Protein structure for ENV_HV1BR","AlphaFold2 predicted protein structure for ENV_HV1BR from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/ENV_HV1BR.pdb"
"Protein structure for ENVZ_ECOLI","AlphaFold2 predicted protein structure for ENVZ_ECOLI from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/ENVZ_ECOLI.pdb"
"Protein structure for EPHB2_HUMAN","AlphaFold2 predicted protein structure for EPHB2_HUMAN from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/EPHB2_HUMAN.pdb"
"Protein structure for ERBB2_HUMAN","AlphaFold2 predicted protein structure for ERBB2_HUMAN from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/ERBB2_HUMAN.pdb"
"Protein structure for ESTA_BACSU","AlphaFold2 predicted protein structure for ESTA_BACSU from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/ESTA_BACSU.pdb"
"Protein structure for F7YBW8_MESOW","AlphaFold2 predicted protein structure for F7YBW8_MESOW from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/F7YBW8_MESOW.pdb"
"Protein structure for FECA_ECOLI","AlphaFold2 predicted protein structure for FECA_ECOLI from ProteinGym v1.2 curated by Notin et al. 2023","3.21",NA,"PDB","https://zenodo.org/records/14997691",1.2,NA,NA,TRUE,"Marks Lab at Harvard Medical School","Tram Nguyen <Tram_Nguyen@hms.harvard.edu>","Character","FilePath","ProteinGymR/FECA_ECOLI.pdb"
